PERMNO,date,TICKER,COMNAM,VOL,RET,vwretd,vwretx
11850,2015-01-30,XOM,EXXON MOBIL CORP,3268194,-0.054408,-0.027163,-0.028233
11850,2015-02-27,XOM,EXXON MOBIL CORP,2764475,0.020705,0.055915,0.053599
11850,2015-03-31,XOM,EXXON MOBIL CORP,3302603,-0.039982,-0.010397,-0.012211
11850,2015-04-30,XOM,EXXON MOBIL CORP,2516713,0.027882,0.008766,0.007618
11850,2015-05-29,XOM,EXXON MOBIL CORP,1989238,-0.016482,0.010277,0.008115
11850,2015-06-30,XOM,EXXON MOBIL CORP,2388089,-0.023474,-0.019231,-0.021171
11850,2015-07-31,XOM,EXXON MOBIL CORP,2740288,-0.047957,0.012108,0.010895
11850,2015-08-31,XOM,EXXON MOBIL CORP,3879407,-0.040904,-0.059926,-0.061993
11850,2015-09-30,XOM,EXXON MOBIL CORP,3166445,-0.011829,-0.033756,-0.035693
11850,2015-10-30,XOM,EXXON MOBIL CORP,3181261,0.112845,0.073937,0.072542
11850,2015-11-30,XOM,EXXON MOBIL CORP,2642081,-0.004230,0.002404,0.000136
11850,2015-12-31,XOM,EXXON MOBIL CORP,3670690,-0.045432,-0.022209,-0.024447
11850,2016-01-29,XOM,EXXON MOBIL CORP,4189547,-0.001283,-0.057085,-0.058253
11850,2016-02-29,XOM,EXXON MOBIL CORP,3598364,0.038921,0.000620,-0.001802
11850,2016-03-31,XOM,EXXON MOBIL CORP,2928415,0.042919,0.070491,0.068122
11850,2016-04-29,XOM,EXXON MOBIL CORP,2218011,0.057543,0.011718,0.010483
11850,2016-05-31,XOM,EXXON MOBIL CORP,2191731,0.015498,0.014340,0.011925
11850,2016-06-30,XOM,EXXON MOBIL CORP,2523181,0.053022,0.002947,0.000875
11850,2016-07-29,XOM,EXXON MOBIL CORP,2106211,-0.051099,0.038815,0.037567
11850,2016-08-31,XOM,EXXON MOBIL CORP,2354123,-0.011917,0.002800,0.000463
11850,2016-09-30,XOM,EXXON MOBIL CORP,2716365,0.001607,0.003013,0.001235
